sample__uid,taxid,name,cn_name,rankcode,reads_accum,rpm,abd,amplicon_reads,dup_accum,cov_length,ref_length,coverage,rank,parent_ratio,labels
RTI-T05-H16-tNGS-Ts16-20250303,2702,Gardnerella vaginalis,阴道加德纳菌,S,7,0.927150353,1.97276E-06,6,0,228,838,0.272076372,1,63.636,
RTI-T05-H16-tNGS-Ts16-20250303,32207,Rothia,罗氏菌属,G,1,0.13245005,2.81823E-07,,0,,,,21/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,1716,Corynebacterium,棒状杆菌属,G,3,0.397350151,8.45468E-07,,0,,,,16/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,38284,Corynebacterium accolens,拥挤棒状杆菌,S,1,0.13245005,2.81823E-07,1,0,50,5064,0.009873618,2,33.333,
RTI-T05-H16-tNGS-Ts16-20250303,1979527,Corynebacterium kefirresidentii,Corynebacterium kefirresidentii,S,2,0.264900101,5.63645E-07,1,0,50,2626,0.019040366,1,66.667,
RTI-T05-H16-tNGS-Ts16-20250303,1827,Rhodococcus,红球菌属,G,5,0.662250252,1.40911E-06,,0,,,,8月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,1912216,Cutibacterium,Cutibacterium,G,23,3.04635116,6.48192E-06,,0,,,,4月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,1747,Cutibacterium acnes,痤疮丙酸杆菌,S,20,2.649001009,5.63645E-06,13,0,439,21927,0.020020979,1,86.957,
RTI-T05-H16-tNGS-Ts16-20250303,33011,Cutibacterium granulosum,颗粒丙酸杆菌,S,1,0.13245005,2.81823E-07,1,0,50,1715,0.029154519,3,4.348,misclassified
RTI-T05-H16-tNGS-Ts16-20250303,1574624,Cutibacterium namnetense,Cutibacterium namnetense,S,2,0.264900101,5.63645E-07,2,0,100,813,0.12300123,2,8.696,misclassified
RTI-T05-H16-tNGS-Ts16-20250303,2129,Ureaplasma,脲原体属,G,51305,6795.349838,0.014458914,,49888,,,,2月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,2130,Ureaplasma urealyticum,解脲脲原体,S,2,0.264900101,5.63645E-07,0,0,0,97,0,2,0.004,misclassified
RTI-T05-H16-tNGS-Ts16-20250303,134821,Ureaplasma parvum,微小脲原体,S,51281,6792.171036,0.014452151,0,49883,0,194,0,1,99.996,
RTI-T05-H16-tNGS-Ts16-20250303,2895509,Metamycoplasma,副支原体,G,12,1.589400605,3.38187E-06,,0,,,,6月28日,92.308,
RTI-T05-H16-tNGS-Ts16-20250303,2098,Metamycoplasma hominis,人型支原体,S,12,1.589400605,3.38187E-06,10,0,158,566,0.279151943,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,2995234,Mycoplasmoides,拟支原体,G,1,0.13245005,2.81823E-07,,0,,,,21/28,7.692,
RTI-T05-H16-tNGS-Ts16-20250303,2097,Mycoplasmoides genitalium,生殖支原体,S,1,0.13245005,2.81823E-07,0,0,0,296,0,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,10292,Herpesviridae,疱疹病毒科,F,998,132.1851503,0.000281259,,760,,,,,100,
RTI-T05-H16-tNGS-Ts16-20250303,10293,Alphaherpesvirinae,α疱疹病毒亚科,F1,58,7.682102925,1.63457E-05,,33,,,,,5.812,
RTI-T05-H16-tNGS-Ts16-20250303,10294,Simplexvirus,单纯疱疹病毒属,G,58,7.682102925,1.63457E-05,,33,,,,3月4日,100,
RTI-T05-H16-tNGS-Ts16-20250303,10298,Human alphaherpesvirus 1,人疱疹病毒1型,S1,58,7.682102925,1.63457E-05,58,33,128,135857,0.000942167,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,10357,Betaherpesvirinae,β疱疹病毒亚科,F1,940,124.5030474,0.000264913,,727,,,,,94.188,
RTI-T05-H16-tNGS-Ts16-20250303,10358,Cytomegalovirus,巨细胞病毒属,G,940,124.5030474,0.000264913,,727,,,,2月4日,100,
RTI-T05-H16-tNGS-Ts16-20250303,10359,Human betaherpesvirus 5 (cytomegalovirus),人疱疹病毒5型(巨细胞病毒),S1,940,124.5030474,0.000264913,940,727,161,1016,0.158464567,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,333750,Alphapapillomavirus,甲型乳头瘤病毒属,G,90105,11934.41179,0.025393636,,84777,,,,1月4日,100,
RTI-T05-H16-tNGS-Ts16-20250303,337041,Alphapapillomavirus 9,甲型乳头瘤病毒9,S,72886,9653.754376,0.020540931,,68660,,,,1,80.89,
RTI-T05-H16-tNGS-Ts16-20250303,10598,Human papillomavirus type 58,人乳头瘤病毒58型,S1,4,0.529800202,1.12729E-06,,1,,,,,0.005,
RTI-T05-H16-tNGS-Ts16-20250303,333760,Human papillomavirus type 16,人乳头瘤病毒16型,S1,72867,9651.237825,0.020535576,,68654,,,,,99.995,
RTI-T05-H16-tNGS-Ts16-20250303,337044,Alphapapillomavirus 5,甲型乳头瘤病毒5,S,168,22.25160847,4.73462E-05,,103,,,,3,0.186,
RTI-T05-H16-tNGS-Ts16-20250303,10595,Human papillomavirus type 51,人乳头瘤病毒51型,S1,168,22.25160847,4.73462E-05,,103,,,,,100,
RTI-T05-H16-tNGS-Ts16-20250303,337050,Alphapapillomavirus 6,甲型乳头瘤病毒6,S,17051,2258.40581,0.004805359,,16014,,,,2,18.923,
RTI-T05-H16-tNGS-Ts16-20250303,333765,Human papillomavirus type 53,人乳头瘤病毒53型,S1,17051,2258.40581,0.004805359,,16014,,,,,100,
RTI-T05-H16-tNGS-Ts16-20250303,10241,Chordopoxvirinae,,F1,6,0.794700303,1.69094E-06,,0,,,,,100,
RTI-T05-H16-tNGS-Ts16-20250303,10278,Molluscipoxvirus,软疣痘病毒属,G,6,0.794700303,1.69094E-06,,0,,,,4月4日,100,
RTI-T05-H16-tNGS-Ts16-20250303,10279,Molluscum contagiosum virus,传染性软疣病毒,S,6,0.794700303,1.69094E-06,,0,,,,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,10281,Molluscum contagiosum virus subtype 2,,S1,1,0.13245005,2.81823E-07,,0,,,,,100,
RTI-T05-H11-tNGS-Ts11-20250303,286,Pseudomonas,假单胞菌属,G,14,3.695820265,7.23345E-06,,0,,,,21/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,136843,Pseudomonas fluorescens group,荧光假单胞菌复合群,G1,7,1.847910132,3.61672E-06,,0,,,,,87.5,
RTI-T05-H11-tNGS-Ts11-20250303,29442,Pseudomonas tolaasii,Pseudomonas tolaasii,S,1,0.263987162,5.16675E-07,0,0,0,439,0,2,33.333,
RTI-T05-H11-tNGS-Ts11-20250303,47883,Pseudomonas synxantha,类黄假单胞菌,S,2,0.527974324,1.03335E-06,0,0,0,56516,0,1,66.667,
RTI-T05-H11-tNGS-Ts11-20250303,543,Enterobacteriaceae,肠杆菌科,F,4,1.055948647,2.0667E-06,,0,,,,,100,
RTI-T05-H11-tNGS-Ts11-20250303,40323,Stenotrophomonas,寡养（窄食）单胞菌属,G,3,0.791961485,1.55002E-06,,0,,,,30/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,40324,Stenotrophomonas maltophilia,嗜麦芽窄食单胞菌,S,2,0.527974324,1.03335E-06,2,0,100,143184,0.000698402,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,469,Acinetobacter,不动杆菌属,G,1,0.263987162,5.16675E-07,,0,,,,38/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,40214,Acinetobacter johnsonii,约翰逊不动杆菌,S,1,0.263987162,5.16675E-07,1,0,50,1316,0.037993921,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,13687,Sphingomonas,鞘氨醇单胞菌属,G,9,2.375884456,4.65007E-06,,1,,,,24/49,90,
RTI-T05-H11-tNGS-Ts11-20250303,40682,Sphingomonas mali,Sphingomonas mali,S,2,0.527974324,1.03335E-06,,0,,,,1,33.333,
RTI-T05-H11-tNGS-Ts11-20250303,152682,Sphingomonas melonis,瓜类鞘氨醇单胞菌,S,1,0.263987162,5.16675E-07,0,0,0,1794,0,2,16.667,
RTI-T05-H11-tNGS-Ts11-20250303,41275,Brevundimonas,短波单胞菌属,G,1,0.263987162,5.16675E-07,,0,,,,38/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,963,Herbaspirillum,草螺菌属,G,6,1.583922971,3.10005E-06,,1,,,,26/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,863372,Herbaspirillum huttiense,哈特草螺菌,S,5,1.319935809,2.58337E-06,4,1,150,90064,0.001665482,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,12916,Acidovorax,食酸菌属,G,1,0.263987162,5.16675E-07,,0,,,,38/49,50,
RTI-T05-H11-tNGS-Ts11-20250303,80878,Acidovorax temperans,温和食酸菌,S,1,0.263987162,5.16675E-07,0,0,0,321,0,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,28065,Rhodoferax,Rhodoferax,G,1,0.263987162,5.16675E-07,,0,,,,38/49,50,
RTI-T05-H11-tNGS-Ts11-20250303,1842727,Rhodoferax koreense,,S,1,0.263987162,5.16675E-07,,0,,,,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,848,Fusobacterium,梭杆菌属,G,2,0.527974324,1.03335E-06,,0,,,,32/49,50,
RTI-T05-H11-tNGS-Ts11-20250303,180162,Cetobacterium,Cetobacterium,G,2,0.527974324,1.03335E-06,,0,,,,32/49,50,
RTI-T05-H11-tNGS-Ts11-20250303,180163,Cetobacterium ceti,Cetobacterium ceti,S,2,0.527974324,1.03335E-06,,0,,,,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,168808,Sneathia,Sneathia,G,529299,139728.1407,0.273475512,,506219,,,,2/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,40543,Sneathia sanguinegens,Sneathia sanguinegens,S,612,161.560143,0.000316205,,540,,,,2,0.116,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,187101,Sneathia amnii,Sneathia amnii,S,528680,139564.7327,0.27315569,528211,505678,750,750,1,1,99.884,
RTI-T05-H11-tNGS-Ts11-20250303,423349,Mucilaginibacter,粘液杆菌属,G,2,0.527974324,1.03335E-06,,0,,,,32/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,836,Porphyromonas,卟啉单胞菌属,G,45373,11977.88949,0.023443091,,42027,,,,6/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,28123,Porphyromonas asaccharolytica,不解糖卟啉单胞菌,S,273,72.06849516,0.000141052,43,57,390,752,0.518617021,2,0.613,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,281920,Porphyromonas uenonis,上野卟啉单胞菌,S,44253,11682.22387,0.022864415,43887,41250,702,734,0.95640327,1,99.387,
RTI-T05-H11-tNGS-Ts11-20250303,838,Prevotella,普雷沃菌属,G,15293,4037.155665,0.007901509,,10927,,,,9/49,4.966,
RTI-T05-H11-tNGS-Ts11-20250303,28125,Prevotella bivia,二路普雷沃菌,S,2123,560.4447445,0.001096901,1773,911,735,855,0.859649123,3,14.051,
RTI-T05-H11-tNGS-Ts11-20250303,28126,Prevotella buccae,颊普雷沃菌,S,1,0.263987162,5.16675E-07,0,0,0,3220,0,11,0.007,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,28128,Prevotella corporis,人体普雷沃菌,S,6,1.583922971,3.10005E-06,0,0,0,753,0,6,0.04,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,28129,Prevotella denticola,栖牙普雷沃菌,S,2,0.527974324,1.03335E-06,0,0,0,6613,0,8,0.013,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,28130,Prevotella disiens,双向普雷沃菌,S,6387,1686.086002,0.003300003,6365,4856,742,754,0.984084881,2,42.273,
RTI-T05-H11-tNGS-Ts11-20250303,28131,Prevotella intermedia,中间普雷沃菌,S,13,3.431833103,6.71677E-06,1,0,50,18087,0.002764416,5,0.086,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,28132,Prevotella melaninogenica,产黑色普雷沃菌,S,6443,1700.869283,0.003328936,6271,5029,729,37901,0.019234321,1,42.643,
RTI-T05-H11-tNGS-Ts11-20250303,28135,Prevotella oris,口腔普雷沃菌,S,4,1.055948647,2.0667E-06,0,0,0,5759,0,7,0.026,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,60133,Prevotella pallens,苍白普雷沃菌,S,1,0.263987162,5.16675E-07,0,0,0,11222,0,11,0.007,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,305719,Prevotella baroniae,巴氏普雷沃菌,S,2,0.527974324,1.03335E-06,0,1,0,3450,0,8,0.013,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,1177574,Prevotella jejuni,空肠普雷沃菌,S,2,0.527974324,1.03335E-06,0,0,0,41946,0,8,0.013,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,1776388,Prevotella phocaeensis,Prevotella phocaeensis,S,1,0.263987162,5.16675E-07,0,0,0,192,0,11,0.007,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,1917878,Prevotella ihumii,,S,121,31.94244657,6.25177E-05,0,81,0,977,0,4,0.801,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,52228,Hallella,Hallella,G,5,1.319935809,2.58337E-06,,1,,,,27/49,0.002,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,242750,Hallella bergensis,伯根普雷沃氏菌,S,3,0.791961485,1.55002E-06,,0,,,,1,60,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,1703337,Hallella colorans,,S,2,0.527974324,1.03335E-06,0,1,0,564,0,2,40,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,2974257,Hoylesella,Hoylesella,G,292663,77259.27473,0.151211628,,276341,,,,4/49,95.032,
RTI-T05-H11-tNGS-Ts11-20250303,28127,Hoylesella buccalis,口颊普雷沃氏菌,S,2091,551.9971553,0.001080367,1579,1199,549,694,0.791066282,2,0.715,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,189722,Hoylesella marshii,马氏普雷沃菌,S,2,0.527974324,1.03335E-06,,0,,,,3,0.001,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,228603,Hoylesella shahii,赛赫普雷沃氏菌,S,2,0.527974324,1.03335E-06,0,0,0,1928,0,3,0.001,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,386414,Hoylesella timonensis,提蒙类普雷沃菌,S,290531,76696.4541,0.150110078,282867,275140,734,849,0.864546525,1,99.284,
RTI-T05-H11-tNGS-Ts11-20250303,195950,Tannerella,坦纳菌属,G,2,0.527974324,1.03335E-06,,0,,,,32/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,28112,Tannerella forsythia,福赛斯坦纳菌,S,2,0.527974324,1.03335E-06,0,0,0,6227,0,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,76632,Thermobacillus,Thermobacillus,G,1,0.263987162,5.16675E-07,,0,,,,38/49,50,
RTI-T05-H11-tNGS-Ts11-20250303,1378,Gemella,孪生球菌属,G,4574,1207.477278,0.002363271,,3332,,,,11/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,502393,Gemella asaccharolytica,不解糖卟啉孪生球菌,S,4574,1207.477278,0.002363271,1246,3332,191,200,0.955,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,1301,Streptococcus,链球菌属,G,8,2.111897294,4.1334E-06,,0,,,,25/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,1303,Streptococcus oralis,口腔链球菌,S,1,0.263987162,5.16675E-07,1,0,50,34413,0.001452939,1,33.333,
RTI-T05-H11-tNGS-Ts11-20250303,1336,Streptococcus equi,马链球菌,S,1,0.263987162,5.16675E-07,0,0,0,149,0,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,1328,Streptococcus anginosus,咽峡炎链球菌,S,1,0.263987162,5.16675E-07,1,0,50,1708,0.029274005,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,1578,Lactobacillus,乳杆菌属,G,20,5.279743236,1.03335E-05,,0,,,,18/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,147802,Lactobacillus iners,惰性乳杆菌,S,20,5.279743236,1.03335E-05,16,0,395,787,0.501905972,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,1350,Enterococcus,肠球菌属,G,1,0.263987162,5.16675E-07,,0,,,,38/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,41997,Enterococcus saccharolyticus,解糖肠球菌,S,1,0.263987162,5.16675E-07,,0,,,,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,1375,Aerococcus,气球菌属,G,549,144.9289518,0.000283655,,93,,,,16/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,87541,Aerococcus christensenii,柯氏气球菌,S,549,144.9289518,0.000283655,,93,,,,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,44258,Caloramator,Caloramator,G,16,4.223794588,8.2668E-06,,13,,,,19/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,515264,Caloramator australicus,,S,16,4.223794588,8.2668E-06,,13,,,,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,1257,Peptostreptococcus,消化链球菌属,G,4955,1308.056387,0.002560124,,3575,,,,10/49,99.96,
RTI-T05-H11-tNGS-Ts11-20250303,1261,Peptostreptococcus anaerobius,厌氧消化链球菌,S,4955,1308.056387,0.002560124,4912,3575,790,2405,0.328482328,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,44259,Filifactor,产线菌属,G,1,0.263987162,5.16675E-07,,0,,,,38/49,0.02,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,143361,Filifactor alocis,龈沟产线菌,S,1,0.263987162,5.16675E-07,0,0,0,358,0,1,100,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,1870884,Clostridioides,梭状芽胞杆菌属,G,1,0.263987162,5.16675E-07,,0,,,,38/49,0.02,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,1496,Clostridioides difficile,艰难梭状芽胞杆菌,S,1,0.263987162,5.16675E-07,0,0,0,72,0,1,100,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,2740,Peptococcus,消化球菌属,G,2287,603.738639,0.001181636,,1996,,,,14/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,2741,Peptococcus niger,黑色消化球菌,S,2287,603.738639,0.001181636,,1996,,,,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,1637257,Mageeibacillus,Mageeibacillus,G,294798,77822.88732,0.152314729,,276823,,,,3/49,100,
RTI-T05-H11-tNGS-Ts11-20250303,884684,Mageeibacillus indolicus,Mageeibacillus indolicus,S,294798,77822.88732,0.152314729,181892,276823,455,455,1,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,906,Megasphaera,巨球形菌属,G,335,88.4356992,0.000173086,,18,,,,17/49,10.877,
RTI-T05-H11-tNGS-Ts11-20250303,1000568,Megasphaera sp. UPII 199-6,巨球形菌UPII 199-6,S,2,0.527974324,1.03335E-06,,0,,,,2,0.599,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,1588748,Megasphaera hutchinsoni,,S,324,85.53184042,0.000167403,,16,,,,1,97.006,
RTI-T05-H11-tNGS-Ts11-20250303,29465,Veillonella,韦荣球菌属,G,1,0.263987162,5.16675E-07,,0,,,,38/49,0.032,misclassified
RTI-T05-H11-tNGS-Ts11-20250303,187328,Veillonella montpellierensis,Veillonella montpellierensis,S,1,0.263987162,5.16675E-07,0,0,0,77,0,1,100,"misclassified,hopping"
RTI-T05-H11-tNGS-Ts11-20250303,39948,Dialister,戴阿里斯特菌属,G,2744,724.3807719,0.001417756,,1480,,,,13/49,89.091,
RTI-T05-H11-tNGS-Ts11-20250303,309120,Dialister micraerophilus,Dialister micraerophilus,S,2744,724.3807719,0.001417756,2733,1480,782,962,0.812889813,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,150022,Finegoldia,芬戈尔德菌属,G,10,2.639871618,5.16675E-06,,0,,,,23/49,1.114,
RTI-T05-H11-tNGS-Ts11-20250303,1260,Finegoldia magna,大芬戈尔德菌,S,10,2.639871618,5.16675E-06,2,0,50,1243,0.040225261,1,100,
RTI-T05-H11-tNGS-Ts11-20250303,162289,Peptoniphilus,嗜胨菌属,G,872,230.1968051,0.000450541,,280,,,,15/49,97.105,
